pair,boundary,side,workload,operations,sample,wall_ns,allocated_words
1,public,finalist,map.membership_change.100000,256,6,3524480.387568,4628.328125
1,public,finalist,map.membership_change.100000,256,7,3535699.099302,4628.328125
1,public,finalist,map.membership_change.100000,256,8,3544250.503182,4628.328125
1,public,finalist,map.membership_change.100000,256,9,3497835.248709,4628.328125
1,raw,reference,map.child_change.10000,8388608,1,111.440301,84.000001
1,raw,reference,map.child_change.10000,8388608,2,111.538640,84.000001
1,raw,reference,map.child_change.10000,8388608,3,110.544448,84.000001
1,raw,reference,map.child_change.10000,8388608,4,112.786552,84.000001
1,raw,reference,map.child_change.10000,8388608,5,114.064335,84.000001
1,raw,reference,map.child_change.10000,8388608,6,115.846376,84.000001
1,raw,reference,map.child_change.10000,8388608,7,116.908069,84.000001
1,raw,reference,map.child_change.10000,8388608,8,116.314311,84.000001
1,raw,reference,map.child_change.10000,8388608,9,114.978576,84.000001
1,raw,finalist,map.child_change.10000,8388608,1,116.513604,89.000001
1,raw,finalist,map.child_change.10000,8388608,2,116.543646,89.000001
1,raw,finalist,map.child_change.10000,8388608,3,116.544243,89.000001
1,raw,finalist,map.child_change.10000,8388608,4,116.815329,89.000001
1,raw,finalist,map.child_change.10000,8388608,5,116.765250,89.000001
1,raw,finalist,map.child_change.10000,8388608,6,116.634482,89.000001
1,raw,finalist,map.child_change.10000,8388608,7,116.546147,89.000001
1,raw,finalist,map.child_change.10000,8388608,8,116.636755,89.000001
1,raw,finalist,map.child_change.10000,8388608,9,113.071565,89.000001
1,public,reference,map.child_change.10000,8388608,1,113.958237,84.000001
1,public,reference,map.child_change.10000,8388608,2,115.927577,84.000001
1,public,reference,map.child_change.10000,8388608,3,115.221638,84.000001
1,public,reference,map.child_change.10000,8388608,4,116.693627,84.000001
1,public,reference,map.child_change.10000,8388608,5,116.416345,84.000001
1,public,reference,map.child_change.10000,8388608,6,118.873345,84.000001
1,public,reference,map.child_change.10000,8388608,7,118.463390,84.000001
1,public,reference,map.child_change.10000,8388608,8,114.381919,84.000001
1,public,reference,map.child_change.10000,8388608,9,111.960190,84.000001
1,public,finalist,map.child_change.10000,1024,1,671666.115522,3944.082031
1,public,finalist,map.child_change.10000,1024,2,675735.296682,3944.082031
1,public,finalist,map.child_change.10000,1024,3,675450.311974,3944.082031
1,public,finalist,map.child_change.10000,1024,4,673183.705658,3944.082031
1,public,finalist,map.child_change.10000,1024,5,678808.661178,3944.082031
1,public,finalist,map.child_change.10000,1024,6,678546.959534,3944.082031
1,public,finalist,map.child_change.10000,1024,7,675996.067002,3944.082031
1,public,finalist,map.child_change.10000,1024,8,681197.270751,3944.082031
1,public,finalist,map.child_change.10000,1024,9,674028.415233,3944.082031
1,raw,reference,map.child_change.100000,4194304,1,133.962885,108.000002
1,raw,reference,map.child_change.100000,4194304,2,129.151601,108.000002
1,raw,reference,map.child_change.100000,4194304,3,127.249905,108.000002
1,raw,reference,map.child_change.100000,4194304,4,127.374619,108.000002
