pair,side,name,operations,sample,wall_ns,allocated_words
2,reference,cancelled_contender,65536,5,11843.520042,7559.000153
2,reference,cancelled_contender,65536,6,11885.025742,7559.000153
2,reference,cancelled_contender,65536,7,11865.646229,7559.000153
2,reference,cancelled_contender,65536,8,11860.640370,7559.000153
2,reference,cancelled_contender,65536,9,11880.372767,7559.000153
2,candidate,cancelled_contender,131072,1,7582.328180,4132.000076
2,candidate,cancelled_contender,131072,2,7597.098374,4132.000076
2,candidate,cancelled_contender,131072,3,7598.266166,4132.000076
2,candidate,cancelled_contender,131072,4,7609.902241,4132.000076
2,candidate,cancelled_contender,131072,5,7607.643056,4132.000076
2,candidate,cancelled_contender,131072,6,7595.335774,4132.000076
2,candidate,cancelled_contender,131072,7,7608.001397,4132.000076
2,candidate,cancelled_contender,131072,8,7612.128684,4132.000076
2,candidate,cancelled_contender,131072,9,7634.323993,4132.000076
2,reference,observer_failure_retry,65536,1,14152.981748,11018.000153
2,reference,observer_failure_retry,65536,2,14155.273675,11018.000153
2,reference,observer_failure_retry,65536,3,14269.804524,11018.000153
2,reference,observer_failure_retry,65536,4,14291.013940,11018.000153
2,reference,observer_failure_retry,65536,5,14213.728718,11018.000153
2,reference,observer_failure_retry,65536,6,14240.922610,11018.000153
2,reference,observer_failure_retry,65536,7,14131.164789,11018.000153
2,reference,observer_failure_retry,65536,8,14067.245502,11018.000153
2,reference,observer_failure_retry,65536,9,14077.028027,11018.000153
2,candidate,observer_failure_retry,65536,1,10195.955838,7178.000153
2,candidate,observer_failure_retry,65536,2,10157.335055,7178.000153
2,candidate,observer_failure_retry,65536,3,10182.724509,7178.000153
2,candidate,observer_failure_retry,65536,4,10202.544217,7178.000153
2,candidate,observer_failure_retry,65536,5,10253.435903,7178.000153
2,candidate,observer_failure_retry,65536,6,10252.209904,7178.000153
2,candidate,observer_failure_retry,65536,7,10263.978766,7178.000153
2,candidate,observer_failure_retry,65536,8,10240.692063,7178.000153
2,candidate,observer_failure_retry,65536,9,10196.104995,7178.000153
2,reference,observer_disposal,65536,1,8780.152712,6169.000153
2,reference,observer_disposal,65536,2,8792.296285,6169.000153
2,reference,observer_disposal,65536,3,8752.427675,6169.000153
2,reference,observer_disposal,65536,4,8842.253010,6169.000153
2,reference,observer_disposal,65536,5,8815.339243,6169.000153
2,reference,observer_disposal,65536,6,8741.957572,6169.000153
2,reference,observer_disposal,65536,7,8841.794624,6169.000153
2,reference,observer_disposal,65536,8,8828.963473,6169.000153
2,reference,observer_disposal,65536,9,8736.798918,6169.000153
2,candidate,observer_disposal,4096,1,685114.995576,147129.002441
2,candidate,observer_disposal,4096,2,904484.128114,188121.004395
2,candidate,observer_disposal,4096,3,1146651.105955,229049.002441
2,candidate,observer_disposal,4096,4,1438582.781702,270009.002441
2,candidate,observer_disposal,4096,5,1647210.447118,310969.002441
2,candidate,observer_disposal,4096,6,2030731.935520,351993.004395
2,candidate,observer_disposal,4096,7,2308667.229954,392889.002441
2,candidate,observer_disposal,4096,8,2718494.331930,433849.002441
2,candidate,observer_disposal,4096,9,3778743.906878,474809.002441
2,reference,timer_cycle,16384,1,30812.749173,21548.000610
2,reference,timer_cycle,16384,2,30738.403439,21548.000610
2,reference,timer_cycle,16384,3,30865.790904,21548.000610
2,reference,timer_cycle,16384,4,30884.402804,21548.000610
2,reference,timer_cycle,16384,5,30700.379284,21548.000610
2,reference,timer_cycle,16384,6,30786.381103,21548.000610
2,reference,timer_cycle,16384,7,30752.620660,21548.000610
2,reference,timer_cycle,16384,8,30966.490158,21548.000610
2,reference,timer_cycle,16384,9,30901.981518,21548.000610
2,candidate,timer_cycle,65536,1,14665.834897,9614.000153
2,candidate,timer_cycle,65536,2,14732.482668,9630.000168
2,candidate,timer_cycle,65536,3,14723.998902,9614.000153
2,candidate,timer_cycle,65536,4,14679.277228,9614.000153
2,candidate,timer_cycle,65536,5,14730.925614,9614.000153
2,candidate,timer_cycle,65536,6,14847.304556,9646.000168
2,candidate,timer_cycle,65536,7,14745.848603,9614.000153
2,candidate,timer_cycle,65536,8,14873.061446,9614.000153
2,candidate,timer_cycle,65536,9,14739.776816,9614.000153
3,reference,failed_retry.depth_1.position_last,65536,1,10153.151379,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,2,10086.227121,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,3,10083.953384,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,4,10158.095392,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,5,10145.158740,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,6,10141.739040,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,7,10107.221897,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,8,10091.491276,7717.001221
3,reference,failed_retry.depth_1.position_last,65536,9,9976.545698,7717.001221
3,candidate,failed_retry.depth_1.position_last,131072,1,4458.397598,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,2,4460.511263,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,3,4466.315659,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,4,4459.991032,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,5,4455.230737,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,6,4470.886779,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,7,4469.809937,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,8,4478.699339,3026.000610
3,candidate,failed_retry.depth_1.position_last,131072,9,4474.983143,3026.000610
3,reference,failed_retry.depth_10.position_last,65536,1,12774.122297,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,2,12785.276340,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,3,12824.293663,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,4,12846.910977,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,5,12901.746231,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,6,12946.562492,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,7,12941.985915,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,8,12957.931176,9211.001221
3,reference,failed_retry.depth_10.position_last,65536,9,12966.567738,9211.001221
3,candidate,failed_retry.depth_10.position_last,131072,1,6049.698641,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,2,6074.416888,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,3,6084.801498,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,4,6077.110811,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,5,6080.552339,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,6,6095.649951,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,7,6093.870979,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,8,6093.338015,3368.000610
3,candidate,failed_retry.depth_10.position_last,131072,9,6093.307093,3368.000610
3,reference,failed_retry.depth_100.position_last,16384,1,39037.549868,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,2,39093.691157,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,3,39090.082282,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,4,39039.368858,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,5,39103.208110,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,6,39070.422645,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,7,39049.438783,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,8,38804.806536,24151.004883
3,reference,failed_retry.depth_100.position_last,16384,9,38390.819100,24151.004883
3,candidate,failed_retry.depth_100.position_last,32768,1,29999.049730,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,2,29946.866562,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,3,30050.352507,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,4,30026.640161,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,5,30031.922506,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,6,29946.873838,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,7,30042.785511,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,8,29999.238905,7808.002441
3,candidate,failed_retry.depth_100.position_last,32768,9,30030.183552,7808.002441
3,reference,dynamic_scope_cleanup,65536,1,8822.342352,7304.001221
3,reference,dynamic_scope_cleanup,65536,2,8923.569112,7304.001221
3,reference,dynamic_scope_cleanup,65536,3,8992.068615,7304.001221
3,reference,dynamic_scope_cleanup,65536,4,8983.872249,7304.001221
3,reference,dynamic_scope_cleanup,65536,5,8955.230442,7304.001221
3,reference,dynamic_scope_cleanup,65536,6,8929.044270,7304.001221
3,reference,dynamic_scope_cleanup,65536,7,8855.149645,7304.001221
3,reference,dynamic_scope_cleanup,65536,8,8940.474800,7304.001221
3,reference,dynamic_scope_cleanup,65536,9,8714.476280,7304.001221
3,candidate,dynamic_scope_cleanup,16384,1,86096.377345,4073.007263
3,candidate,dynamic_scope_cleanup,16384,2,115231.188829,4081.005615
3,candidate,dynamic_scope_cleanup,16384,3,170069.935848,4073.004883
3,candidate,dynamic_scope_cleanup,16384,4,170916.202478,4073.004883
3,candidate,dynamic_scope_cleanup,16384,5,182970.397873,4073.005554
3,candidate,dynamic_scope_cleanup,16384,6,206994.998734,4089.004944
3,candidate,dynamic_scope_cleanup,16384,7,230732.723139,4073.010925
3,candidate,dynamic_scope_cleanup,16384,8,259483.829723,4073.004883
3,candidate,dynamic_scope_cleanup,16384,9,295563.600957,4073.004883
3,reference,cancelled_contender,65536,1,11853.011529,7559.000153
3,reference,cancelled_contender,65536,2,11852.156604,7559.000153
3,reference,cancelled_contender,65536,3,11860.382074,7559.000153
3,reference,cancelled_contender,65536,4,11851.865565,7559.000153
3,reference,cancelled_contender,65536,5,11822.401575,7559.000153
3,reference,cancelled_contender,65536,6,11912.659829,7559.000153
3,reference,cancelled_contender,65536,7,11935.011571,7559.000153
3,reference,cancelled_contender,65536,8,11868.058209,7559.000153
3,reference,cancelled_contender,65536,9,11891.312170,7559.000153
3,candidate,cancelled_contender,131072,1,7537.772035,4132.000076
3,candidate,cancelled_contender,131072,2,7545.531844,4132.000076
3,candidate,cancelled_contender,131072,3,7551.620001,4132.000076
3,candidate,cancelled_contender,131072,4,7584.771083,4132.000076
3,candidate,cancelled_contender,131072,5,7590.080713,4132.000076
3,candidate,cancelled_contender,131072,6,7619.491953,4132.000076
3,candidate,cancelled_contender,131072,7,7563.920008,4132.000076
3,candidate,cancelled_contender,131072,8,7555.809134,4132.000076
3,candidate,cancelled_contender,131072,9,7566.672139,4132.000076
3,reference,observer_failure_retry,65536,1,14095.276129,11018.000153
3,reference,observer_failure_retry,65536,2,14055.403881,11018.000153
3,reference,observer_failure_retry,65536,3,14052.289771,11018.000153
3,reference,observer_failure_retry,65536,4,14049.957827,11018.000153
3,reference,observer_failure_retry,65536,5,14062.301489,11018.000153
3,reference,observer_failure_retry,65536,6,14079.665561,11018.000153
3,reference,observer_failure_retry,65536,7,14094.330254,11018.000153
3,reference,observer_failure_retry,65536,8,14089.095203,11018.000153
3,reference,observer_failure_retry,65536,9,14057.528460,11018.000153
3,candidate,observer_failure_retry,65536,1,10240.160918,7178.000153
3,candidate,observer_failure_retry,65536,2,10213.167116,7178.000153
3,candidate,observer_failure_retry,65536,3,10223.389836,7178.000153
3,candidate,observer_failure_retry,65536,4,10266.874597,7178.000153
3,candidate,observer_failure_retry,65536,5,10199.324606,7178.000153
3,candidate,observer_failure_retry,65536,6,10180.909157,7178.000153
3,candidate,observer_failure_retry,65536,7,10166.033462,7178.000153
3,candidate,observer_failure_retry,65536,8,10147.356079,7178.000153
3,candidate,observer_failure_retry,65536,9,10173.935152,7178.000153
3,reference,observer_disposal,65536,1,8760.267519,6169.000153
3,reference,observer_disposal,65536,2,8752.715075,6169.000153
3,reference,observer_disposal,65536,3,8687.973605,6169.000153
3,reference,observer_disposal,65536,4,8825.958503,6169.000153
3,reference,observer_disposal,65536,5,8817.823982,6169.000153
3,reference,observer_disposal,65536,6,8772.414731,6169.000153
3,reference,observer_disposal,65536,7,8861.239621,6169.000153
3,reference,observer_disposal,65536,8,8791.899745,6169.000153
3,reference,observer_disposal,65536,9,8799.073839,6169.000153
3,candidate,observer_disposal,4096,1,708650.622983,147129.002441
3,candidate,observer_disposal,4096,2,902203.377336,188121.004395
3,candidate,observer_disposal,4096,3,1137710.933108,229049.002441
3,candidate,observer_disposal,4096,4,1396759.005729,270009.002441
