name,pair,operations,sample,wall_ns,allocated_words
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,6,227.264593,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,7,227.199337,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,8,227.335477,106.000009
eta_signal.effect_seam.driver_sync.depth_100,2,4194304,9,226.943712,106.000009
eta_signal.effect_seam.public_sync.depth_100,2,2097152,1,356.300916,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,2,356.138230,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,3,357.816702,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,4,357.562499,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,5,356.974169,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,6,357.789531,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,7,359.823730,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,8,359.575210,204.000018
eta_signal.effect_seam.public_sync.depth_100,2,2097152,9,359.668206,204.000018
eta_signal.effect_seam.public_eio.depth_100,2,1048576,1,765.934146,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,2,766.334551,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,3,767.455276,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,4,768.159907,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,5,767.252004,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,6,769.360668,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,7,769.962298,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,8,769.279495,487.000065
eta_signal.effect_seam.public_eio.depth_100,2,1048576,9,770.252200,487.000065
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,1,118.725183,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,2,118.727570,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,3,118.525406,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,4,118.574633,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,5,118.517420,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,6,118.510144,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,7,118.666179,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,8,118.592396,106.000004
eta_signal.effect_seam.deep_claim_sync.depth_1,2,8388608,9,118.514549,106.000004
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,1,407.194534,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,2,406.954314,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,3,407.223752,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,4,406.979552,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,5,407.443054,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,6,407.762968,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,7,407.515472,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,8,407.261382,346.000018
eta_signal.effect_seam.cursor_sync.depth_1,2,2097152,9,407.011953,346.000018
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,1,2175.628651,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,2,2177.883289,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,3,2173.759640,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,4,2174.282599,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,5,2173.545909,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,6,2174.812835,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,7,2174.507244,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,8,2176.188900,1509.000038
eta_signal.effect_seam.edge.candidate_cancelled_contender,2,262144,9,2171.501365,1509.000038
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,1,8672.224794,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,2,8687.682566,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,3,8687.224181,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,4,8688.675734,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,5,8705.719665,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,6,8710.601833,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,7,8716.644516,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,8,8707.796951,6911.000153
eta_signal.effect_seam.edge.reference_cancelled_contender,2,65536,9,8688.781236,6911.000153
eta_signal.effect_seam.raw.depth_1,3,16777216,1,4.347498,0.000001
